id	fake_rates	real_rates
1117852992324231173	6	14
1117853005087268864	1	19
1117853033352716288	10	10
1117853102286069765	1	19
1117853146091380739	9	11
1117853209588944896	4	16
1117853262147833856	5	15
1117853313985175553	1	19
1117853443618529280	0	20
1117853549302403072	3	17
1117853648636108800	2	18
1117853698036621312	0	20
1117853759043002368	1	19
1117853803334729731	1	19
1117853910276816898	14	6
1117854289966186496	2	18
1117854371050598400	2	18
1117854405234024450	0	20
1117854517406490626	0	20
1117855042009280516	0	20
1117855445207486465	0	20
1117855523007651843	0	20
1117855523473244160	3	17
1117855662057279488	20	0
1117855794538647552	10	10
1117856139662757892	1	19
1117856162735480833	2	18
1117856186819207168	2	18
1117856547776811008	2	18
1117857033036890113	1	19
1117857088623919104	0	20
1117857089286823940	0	20
1117857213194723330	0	20
1117857505365741568	13	7
1117857535183261699	1	19
1117857546088243204	1	19
1117857817753419776	0	20
1117858287020433415	2	18
1117858305018191874	2	18
1117858327864709120	1	19
1117858546748493824	5	15
1117858715116265477	0	20
1117859132659392515	0	20
1117859182202347521	1	19
1117859922182537219	16	4
1117860256300691456	1	19
1117860334763532295	9	11
1117861322626981893	12	8
1117861431930699778	1	19
1117861444454948865	0	20
1117862180043382785	19	1
1117862212620578816	13	7
1117862347002064897	16	4
1117862452811554821	14	6
1117862582818201604	0	20
1117863279123025920	9	11
1117863448686125058	1	19
1117863540998561800	0	20
1117863555749928960	0	20
1117863738017603592	8	12
1117863831743520768	6	14
1117864529356939264	0	20
1117864753022373889	0	20
1117864847511674882	2	18
1117865001757360128	8	12
1117865677841293312	10	10
1117865809089449984	2	18
1117865862910894081	5	15
1117865897778143232	2	18
1117866131342024705	5	15
1117866229937479680	3	17
1117868669944516608	0	20
1117868767705350144	0	20
1117868884864819200	3	17
1117868891835756545	13	7
1117869291603259394	0	20
1117870093491482625	3	17
1117870182586732544	2	18
1117870222306725888	1	19
1117870230229766144	0	20
1117870245799170049	5	15
1117870449923198977	0	20
1117871220236533760	0	20
1117871692766797825	20	0
1117871715428622338	8	12
1117871850116091905	8	12
1117872053229506560	14	6
1117873609534427136	6	14
1117874314206801922	19	1
1117874486827634688	1	19
1117875455875371008	0	20
1117875664470691840	1	19
1117875745618124800	17	3
1117875909229301761	15	5
1117876377347166209	0	20
1117876377573707776	9	11
1117876544003805184	1	19
1117876735574327296	2	18
1117876831955218432	11	9
1117877180367691776	2	18
1117877855424147456	2	18
1117878781425807361	0	20
1117880402436214784	2	18
1117880530681225216	5	15
1117880736944541696	0	20
1117880979161378816	0	20
1117881094517354496	0	20
1117881121318916096	2	18
1117881263220645889	12	8
1117881292924657664	0	20
1117881294476603392	3	17
1117881437720436736	3	17
1117882023094284288	17	3
1117882622883926016	0	20
1117883688102928384	16	4
1117883720814428161	0	20
1117884303508029440	6	14
1117884352304566272	0	20
1117885824400420865	0	20
1117885867199090688	0	20
1117885921913794560	2	18
1117886398655164419	5	15
1117886449058107392	0	20
1117886781012135936	14	6
1117887051188166657	1	19
1117887057559298048	17	3
1117887181056438272	0	20
1117887422585425920	13	7
1117887454285975552	19	1
1117887476339658752	13	7
1117887692069425152	3	17
1117887750965850112	1	19
1117887778832945162	12	8
1117887793907290114	2	18
1117887928032739330	6	14
1117887932877156352	0	20
1117888098686234624	0	20
1117888216332423168	15	5
1117888274331095040	2	18
1117888361027346434	1	19
1117888504963317765	7	13
1117888553952800769	7	13
1117888750296502273	7	13
1117888882631045120	3	17
1117888932211937280	1	19
1117888971109834752	3	17
1117889523373862912	1	19
1117889614331572224	2	18
1117889956121206784	2	18
1117890336733319168	1	19
1117890361806819328	19	1
1117891318364004353	1	19
1118101707836284928	6	14
1118102032617852929	10	10
1118102035273007105	16	4
1118103139134132224	2	18
1118103197002948608	13	7
1118104157481852929	5	15
1118104383479148544	0	20
1118105139620003840	5	15
1118106518103179264	5	15
1118106804175532033	2	18
1118108631189336064	4	16
1118111796240572416	2	18
1118111861348753408	16	4
1118111928096677888	6	14
1118114073479122945	2	18
1118119291008815104	0	20
1118123644272746497	17	3
1118124029146226694	13	7
1118124265793052673	20	0
1118131085496348672	20	0
1118132510112743429	17	3
1118136303487463424	20	0
1118136415685152768	15	5
1118137299576008704	0	20
1118137658633543681	1	19
1118138544915193856	20	0
1118139218348400640	3	17
1118139676970319872	9	11
1118141005964959744	2	18
1118141200752627714	19	1
1118141385276841986	5	15
1118142364592349184	9	11
1118142915266662400	1	19
1118144810894884867	11	9
1118144851382501382	10	10
1118147272452263936	16	4
1118147408725184512	15	5
1118148882574135296	15	5
1118150674963808256	10	10
1118150797584293888	13	7
1118151108092809217	1	19
1118151471512588288	5	15
1118152067778957314	5	15
1118152801757138945	7	13
1118155585898283009	12	8
1118155892762062853	5	15
1118155993999990785	20	0
1118161359613464576	6	14
1118161953602424832	18	2
1118162754647490560	15	5
1118162893399134208	2	18
1118163022701301760	16	4
1118163118968987648	18	2
1118163324213047297	18	2
1118164632139595777	15	5
1118164675496165377	1	19
1118165509797597184	16	4
1118165642996322305	12	8
1118166532322816005	3	17
1118166838221975553	20	0
1118166914138890241	10	10
1118166948892823553	0	20
1118166958959136769	11	9
1118168378643034116	11	9
1118168504170164227	20	0
1118170757283053575	19	1
1118170904998100992	0	20
1118172496098758656	2	18
1118176192421666816	20	0
1118176471770705920	6	14
1118176732912050176	13	7
1118178925866307584	2	18
1118179018208153602	18	2
1118179020540002304	12	8
1118179026630107136	19	1
1118180039051366400	20	0
1118182303430336513	19	1
1118182941732024320	16	4
1118186078874345473	4	16
1118187543965650945	15	5
1118193356226449408	20	0
1118194377451376640	1	19
1118194397626003456	1	19
1118197479844003841	8	12
1118198711002251267	18	2
1118198976564457473	8	12
1118199288461443072	17	3
1118201799457026063	15	5
1118201943699095552	14	6
1118202134590316544	9	11
1118204376693248000	1	19
1118206178457194497	8	12
1118206659451449344	12	8
1118207124859957249	4	16
1118207355332722689	16	4
1118207543736766464	4	16
1118207805440364544	2	18
1118208319196487682	17	3
1118208814099177473	1	19
1118209028579123200	0	20
1118209077442678785	17	3
1118209462647447552	0	20
1118209501851729920	0	20
1118209773210619906	1	19
1118210310689755136	20	0
1118210325814312960	15	5
1118210623668662272	17	3
1118210694652944384	18	2
1118212139842334721	19	1
1118213205124427776	7	13
1118214882669805569	18	2
1118215265299333122	8	12
1118215602911547392	1	19
1118215649031929856	2	18
1118215667457638400	13	7
1118216244711297027	7	13
1118216727207317510	10	10
1118216882664943617	18	2
1118218057049047041	3	17
1118219021965348864	5	15
1118219923073798144	15	5
1118219953579155464	15	5
1118221080420700160	17	3
1118225895490113538	8	12
1118227508435013633	1	19
1118227663917858816	10	10
1118228272960217088	14	6
1118228775546781697	18	2
1118229055587930113	17	3
1118229192284368896	18	2
1118229645277659137	15	5
1118230594280935427	2	18
1118230604183687168	18	2
1118230726770429952	5	15
1118230820571844609	19	1
1118231332990197761	3	17
1118231416020455425	3	17
1118233093792571392	6	14
1118234203144036353	8	12
1118234604547211265	19	1
1118234637594054656	1	19
1118234665796550656	20	0
1118234676110536704	2	18
1118235234380800002	6	14
1118235469387632640	13	7
1118235563251904512	17	3
1118236184470335488	1	19
1118237273005285376	4	16
1118237632809533441	0	20
1118239835158925314	20	0
1118241136764526592	11	9
1118241162605862912	18	2
1118244112791031808	15	5
1118245249585954816	14	6
1118245710711988224	17	3
1118245990233006083	1	19
1118246198018621440	1	19
1118246291430092800	2	18
1118246706737496065	17	3
1118247141065887744	18	2
1118247345165099008	18	2
1118247707641024515	17	3
1118247902768443395	4	16
1118248116237553669	10	10
1118250799707111427	16	4
1118253331967815682	20	0
1118253723669737472	13	7
1118254340098150402	0	20
1118254860745334784	16	4
1118256008671809536	1	19
1118259325762449408	1	19
1118260920839335936	19	1
1118262919911944197	8	12
1118263078293000192	4	16
1118263606313914368	16	4
1118263913949421568	0	20
1118263994425286656	16	4
1118264324626079745	8	12
1118264354078511104	7	13
1118264407866449920	16	4
1118267736264728576	1	19
1118268976142921729	17	3
1118270676484411393	19	1
1118271778818674688	19	1
1118275418778300416	2	18
1118275938981007360	14	6
1118276079708512257	13	7
1118276590243405824	0	20
1118276983748620289	6	14
1118277510880481280	16	4
1118278255423913986	1	19
1118279262786793473	19	1
1118279511492169743	13	7
1118282923055169536	2	18
1118284036626055169	16	4
1118285651579998218	2	18
1118285740595732480	19	1
1118286752051937281	20	0
1118286779654836226	13	7
1118288240950169600	0	20
1118289216805515265	10	10
1118292544935251968	12	8
1118293008896745474	20	0
1118293380365266944	15	5
1118294172635676674	13	7
1118294293167448064	8	12
1118296056943599617	5	15
1118297275435036673	12	8
1118297323598155776	5	15
1118302153318080512	4	16
1118302913577664512	18	2
1118595991261859841	10	10
1118637793930960896	17	3
1118649599852310528	6	14
1118650816150286339	18	2
1118660927837097990	6	14
1118690830653505536	11	9
1118847451681705985	13	7
1118847482224697344	15	5
1118848982351060993	15	5
1118850048194830337	1	19
1118851248843714560	3	17
1118851534912217088	0	20
1118851779058393088	13	7
1118854895258472448	19	1
1118856876924575752	2	18
1118856911594708993	15	5
1118857395487354881	14	6
1118870629078507520	18	2
1118870848478371840	19	1
1119473587310800898	19	1
1119556163048288258	10	10
1119561116303155200	9	11
1119574200849719296	4	16
1119593965643345922	8	12
1119597454851076096	17	3
1119634488307388416	8	12
1119656062049751042	13	7
1119659660339023873	19	1
1119661831252008961	15	5
1119666813808177152	16	4
1119675956464107526	11	9
1119684123272998918	18	2
1119685275322597378	20	0
1119704128819580928	11	9
1119708195855822848	20	0
1119715628909301762	14	6
1119730690193416192	9	11
1120083333713727494	20	0
